SORT ORDER FROM VOR DATA (earlier spreadsheets),Date,Stimulus,Clutch,AgeBlock,AgeDays,Block,Individual,StimulusTime,EndStimulusTime,StimHour,StimMin,StimTime,Response,NumH,HatchHour,HatchMin,HatchTime,TtoHhours,TtoH,HatchAge,timefirstH,HsinceH,AmpR,R2,AmpL,R2,AverageR2,Average Amp,YintRight,YintLeft,DiffRandL,"Picture Number/VORseries (WhiteSJKknownmatch,GreenJJfromsortedfolders)",JJPic#s,AlinaPic#s,"Rupture (0 delay, 1 failure)",RuptureTime,Notes,PhotoSeries,Image#(face),TadImage,TadLength,SUM of trait values,,NumH(repeat),Mean length,Stage (mean)
187,20150812,H,265,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,Hatched,2,15,26,15.43,0.4,24,87.43333333,90.63333333,-3.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8888,1303,9.112,2,,2,9.2,2.5
188,20150812,H,265,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,Hatched,NA,15,36,15.6,0.57,34.2,87.6,90.63333333,-3.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8889,1305,9.288,3,,NA,,
189,20150812,T,265,87,3,15,1,,,15,51,15.85,Not Hatched,0,NA,NA,NA,NA,NA,NA,90.63333333,-3.63333333,15.57811221,NA,11.16713622,NA,NA,13.37262422,-6.97E+00,7.65E+00,-14.62829714,,,,,,,,,,NA,3,,0,9.2,3
190,20150812,T,265,87,3,15,2,,,15,51,15.85,Not Hatched,NA,NA,NA,NA,NA,NA,NA,90.63333333,-3.63333333,1.969760158,0.148691278,1.739209971,-0.054221158,0.04723506,1.854485064,-1.12E+01,4.53E+00,-15.74951932,,,,,,,,,,NA,3,,NA,,
191,20150812,H,265,90,3,18,9,18:05_18:07,NA,18,5,18.08,Hatched,2,18,25,18.42,0.34,20.4,90.41666667,90.63333333,-0.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9199,1406,9.22,3,,2,9.326,3.5
192,20150812,H,265,90,3,18,10,18:05_18:07,NA,18,5,18.08,Hatched,NA,18,30,18.5,0.42,25.2,90.5,90.63333333,-0.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9200,1408,9.432,4,,NA,,
193,20150812,T,265,90,3,18,3,,,18,35,18.58,Hatched,2,18,38,18.63,0.05,3,90.63333333,90.63333333,-0.63333333,4.126323416,0.170805443,3.444854382,0.113320329,0.142062886,3.785588899,-6.29E+00,1.43E+00,-7.71730197,9203-9231,,,,,,,,1414,9.381,4,,2,9.0165,4
194,20150812,T,265,90,3,18,4,,,18,35,18.58,Hatched,NA,18,37,18.62,0.04,2.4,90.61666667,90.63333333,-0.63333333,2.645588216,0.163084424,4.215175275,0.075455599,0.119270012,3.430381746,-4.37E+00,8.50E+00,-12.86972323,9232-9258,,,,,,,,1416,8.652,4,,NA,,
195,20150812,T,265,93,3,21,5,,,21,47,21.78,Hatched,1,21,48,21.8,0.02,1.2,93.8,90.63333333,2.36666667,2.839533632,0.054750176,9.20978217,0.192414413,0.123582294,6.024657901,-2.79E+00,1.11E+01,-13.84431088,9602-9629,,,,,,,,1572,8.918,4,,1,9.3035,4
196,20150812,T,265,93,3,21,6,,,21,47,21.78,Not Hatched,1,NA,NA,NA,NA,NA,NA,90.63333333,2.36666667,11.42218476,0.725257415,13.76574519,0.822523247,0.773890331,12.59396498,-1.99E+00,4.06E+00,-6.04590976,9630-9658,,,,,,,,1574,9.689,4,,NA,,
197,20150813,T,265,96,4,0,7,,,0,29,0.48,Hatched,2,0,30,0.5,0.02,1.2,96.5,90.63333333,5.36666667,27.61407894,0.937391128,20.96890899,0.885787296,0.911589212,24.29149397,3.41E-01,-1.82E+00,2.161204681,9922-9948,9922-9948,,,,"Ah, so since Julie dropped the original here, & repeated the poke-an-egg assay,  the second photo would be the actual one that has VOR measurements.",,,1637,9.653,6,,2,9.725,6
198,20150813,T,265,96,4,0,8,,,0,29,0.48,Hatched,NA,0,32,0.53,0.05,3,96.53333333,90.63333333,5.36666667,16.35284005,0.946080401,15.745815,0.781112461,0.863596431,16.04932753,-5.70E+00,6.27E+00,-11.97446349, 9895-9921,9949-9921 WRONG TAD MEASURED HERE. REDO VOR,,,,,,,1639,9.797,6,,NA,,
199,20150812,H,266,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.73333333,-18.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8625,1077,7.827,1,,0,7.661,1
200,20150812,H,266,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.73333333,-18.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8627,1079,7.495,1,,NA,,
201,20150812,H,266,81,3,9,3,9:00_9:02,9:40_,9,0,9,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.73333333,-15.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,70D-labels in images,8712,1158,7.902,2,,0,7.9975,2
202,20150812,H,266,81,3,9,4,9:00_9:02,9:40_,9,0,9,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.73333333,-15.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,70D-labels in images,8714,1160,8.093,2,,NA,,
203,20150812,H,266,84,3,12,5,11:55_11:57,12:35_,11,55,11.92,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.73333333,-12.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,70D-labels in images,8739,1231,8.271,2,,0,8.2715,2
204,20150812,H,266,84,3,12,6,11:55_11:57,12:35_,11,55,11.92,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.73333333,-12.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,70D-labels in images,8741,1233,8.272,2,,NA,,
205,20150812,H,266,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,Hatched,2,15,36,15.6,0.57,34.2,87.6,96.73333333,-9.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8890,1307,9.115,2,,2,9.086,2
206,20150812,H,266,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,Hatched,NA,15,23,15.38,0.35,21,87.38333333,96.73333333,-9.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8891,1309,9.057,2,,NA,,
207,20150812,H,266,90,3,18,9,18:05_18:07,NA,18,5,18.08,Hatched,2,18,26,18.43,0.35,21,90.43333333,96.73333333,-6.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9201,1410,9.118,3,,2,9.199,3
208,20150812,H,266,90,3,18,10,18:05_18:07,NA,18,5,18.08,Hatched,NA,18,25,18.42,0.34,20.4,90.41666667,96.73333333,-6.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9202,1412,9.28,3,,NA,,
209,20150812,T,266,90,3,18,1,,,18,56,18.93,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.73333333,-6.73333333,3.067758313,0.170795452,2.469602377,0.00074216,0.085768806,2.768680345,-5.91E+00,8.48E+00,-14.3925573,9287-9330,,,9259_9286 is missing ID info. It's not the prior tad C265B.,,,,,1418,9.093,3,,0,8.6825,3.5
210,20150812,T,266,90,3,18,2,,,18,56,18.93,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.73333333,-6.73333333,1.98810602,0.134575859,4.533118868,0.335385856,0.234980857,3.260612444,-7.21E+00,5.95E+00,-13.15623574,9331-9355,,,,,,,,1420,8.272,4,,NA,,
211,20150812,T,266,93,3,21,3,,,21,59,21.98,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.73333333,-3.73333333,5.994170778,0.348400916,4.124883797,0.197541635,0.272971275,5.059527288,-6.18E+00,7.05E+00,-13.22068035,9657-9684,,,,,,,,1578,8.981,4,,0,9.221,4
212,20150812,T,266,93,3,21,4,,,21,59,21.98,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.73333333,-3.73333333,7.861394142,0.506339422,7.080985022,0.338713302,0.422526362,7.471189582,-7.53E+00,9.21E+00,-16.73900533,9685-9712,,,,,,,,1580,9.461,4,,NA,,
213,20150813,T,266,96,4,0,5,,,0,43,0.72,Hatched,1,0,44,0.73,0.01,0.6,96.73333333,96.73333333,-0.73333333,11.37950045,0.812941411,14.60265079,0.794171112,0.803556261,12.99107562,-6.60E+00,7.12E+00,-13.7247989,9949-9976,,,CHECK THIS,,,,,1643,9.206,5,,1,9.204,5
214,20150813,T,266,96,4,0,6,,,0,43,0.72,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.73333333,-0.73333333,8.957290981,0.823960863,10.66447911,0.828228163,0.826094513,9.810885047,-7.75E+00,7.35E+00,-15.10196209,9977-0003,,,,,,,,1645,9.202,5,,NA,,
215,20150813,T,266,99,4,3,7,,,3,31,3.52,Hatched,2,3,33,3.55,0.03,1.8,99.55,96.73333333,2.26666667,32.86357918,0.953988514,28.52371011,0.950611908,0.952300211,30.69364464,-1.38E+00,-1.73E+00,0.35046103,0180-0208,,,,,,,,1659,10.104,6,,2,9.932,6
216,20150813,T,266,99,4,3,8,,,3,31,3.52,Hatched,NA,3,34,3.57,0.05,3,99.56666667,96.73333333,2.26666667,26.5045797,0.929595555,26.59728942,0.913335379,0.921465467,26.55093456,-1.82E+00,3.70E+00,-5.52253644,0210-0239,,,,,,,,1661,9.76,6,,NA,,
217,20150813,T,266,102,4,6,9,,,6,21,6.35,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.73333333,5.26666667,9.078599219,0.634592034,7.522179498,0.479242742,0.556917388,8.300389358,-6.98E+00,1.91E+00,-8.88829658,0356-0384,,,,,,,,1716,9.678,6,,1,9.807,6
218,20150813,T,266,102,4,6,10,,,6,21,6.35,Hatched,1,6,24,6.4,0.05,3,102.4,96.73333333,5.26666667,26.98149318,0.926185563,23.75078985,0.911244329,0.918714946,25.36614152,-3.35E+00,3.55E-01,-3.704087233,0385-0412,,,,,,,,1718,9.936,6,,NA,,
219,20150813,T,266,105,4,9,11,,,9,17,9.28,Hatched,2,9,17,9.28,0,0.083333333,105.2833333,96.73333333,8.26666667,28.34647993,0.912890495,39.18168765,0.951407247,0.932148871,33.76408379,-2.47E-01,7.21E-01,-0.968055263,0484-0513,,,,,,,,1758,10.418,6,,2,10.4335,6
220,20150813,T,266,105,4,9,12,,,9,17,9.28,Hatched,NA,9,17,9.28,0,0.083333333,105.2833333,96.73333333,8.26666667,37.45720124,0.95222924,34.54966858,0.958659506,0.955444373,36.00343491,-1.48E+00,6.64E-01,-2.140608663,0514-0549,,,,,HSU,,,1760,10.449,6,,NA,,
